GUID,Start Day and Time,End Day and Time,Header,Title,Description
1,4/26/2015 7:30,4/26/2015 7:55,"Sunday Morning - Presiding:  Kathryn Hibbert, M.D.",Registration  ,
2,4/26/2015 7:55,4/26/2015 8:00,"Sunday Morning - Presiding:  Kathryn Hibbert, M.D.",Welcome,"David J. Kanarek, MD"
3,4/26/2015 8:00,4/26/2015 8:40,"Sunday Morning - Presiding:  Kathryn Hibbert, M.D.",There is no such thing as weaning,"Robert Brown, MD"
4,4/26/2015 8:40,4/26/2015 9:20,"Sunday Morning - Presiding:  Kathryn Hibbert, M.D.",Ventilator modes-What's new and what's worth keeping?,"Dean Hess, Ph.D., RRT"
5,4/26/2015 9:20,4/26/2015 9:50,"Sunday Morning - Presiding:  Kathryn Hibbert, M.D.",ECMO,"Kathryn Hibbert, M.D."
6,4/26/2015 9:50,4/26/2015 10:05,"Sunday Morning - Presiding:  Kathryn Hibbert, M.D.",Coffee Break,
7,4/26/2015 10:05,4/26/2015 10:45,"Sunday Morning - Presiding:  Kathryn Hibbert, M.D.",Sedation and Analgesia in the ICU,"Ednan K. Bajwa, MD, MPH"
8,4/26/2015 10:45,4/26/2015 11:25,"Sunday Morning - Presiding:  Kathryn Hibbert, M.D.",Role of Lung Biopsy in the Management of Patients in the ICU,"Richard L. Kradin, MD"
9,4/26/2015 11:25,4/26/2015 12:15,"Sunday Morning - Presiding:  Kathryn Hibbert, M.D.",Pathogenesis of Sepsis and Current Treatment Guidelines: Evolution of a new paradigm,"B. Taylor Thompson, MD"
10,4/26/2015 12:15,4/26/2015 13:00,"Sunday Afternoon - Presiding:  Debby Ngo, M.D.",Lunch (on your own),
11,4/26/2015 13:00,4/26/2015 13:45,"Sunday Afternoon - Presiding:  Debby Ngo, M.D.",GERD in pulmonology ,"David J. Kanarek, MD"
12,4/26/2015 13:45,4/26/2015 14:15,"Sunday Afternoon - Presiding:  Debby Ngo, M.D.",Diagnosis and Management of IPF:  How do we use the new drugs?,"Andrew M. Tager, MD"
13,4/26/2015 14:15,4/26/2015 14:45,"Sunday Afternoon - Presiding:  Debby Ngo, M.D.",Interstitial Lung Disease and Autoimmune Disease:  Which tests and what treatment?,"Katharine Black, MD"
14,4/26/2015 14:45,4/26/2015 15:00,"Sunday Afternoon - Presiding:  Debby Ngo, M.D.",Coffee break ,
15,4/26/2015 15:00,4/26/2015 15:45,"Sunday Afternoon - Presiding:  Debby Ngo, M.D.",Sarcoidosis,"Fiona Gibbons, MD"
16,4/26/2015 15:45,4/26/2015 16:30,"Sunday Afternoon - Presiding:  Debby Ngo, M.D.",Management of advanced lung disease ,"Leo C. Ginns, MD"
17,4/26/2015 16:30,4/26/2015 17:00,"Sunday Afternoon - Presiding:  Debby Ngo, M.D.",Cellular Mechanics of Lung Disease,"Charles Corey Hardin, MD"
18,4/27/2015 7:15,4/27/2015 8:00,"Monday Morning - Presiding:  Vanessa Bradford Kerry, M.D. ",Q & A Meet the Professors (question/answer session),"Drs. Bajwa, Brown, Ginns, Kanarek, Kradin & Tager"
19,4/27/2015 8:00,4/27/2015 8:45,"Monday Morning - Presiding:  Vanessa Bradford Kerry, M.D. ",Ventilator-associated pneumonia,"Walter J. O’Donnell, MD"
20,4/27/2015 8:45,4/27/2015 9:30,"Monday Morning - Presiding:  Vanessa Bradford Kerry, M.D. ",ARDS: Evidence Based Practice & Beyond,"Benjamin Medoff, MD"
21,4/27/2015 9:30,4/27/2015 10:15,"Monday Morning - Presiding:  Vanessa Bradford Kerry, M.D. ",Severe influenza infection: Pathogenesis and emerging therapies,"Josalyn L. Cho , MD"
22,4/27/2015 10:15,4/27/2015 10:30,"Monday Morning - Presiding:  Vanessa Bradford Kerry, M.D. ",Coffee Break,
23,4/27/2015 10:30,4/27/2015 11:15,"Monday Morning - Presiding:  Vanessa Bradford Kerry, M.D. ",Point-of-care ultrasound in the ICU,"Dana Sajed, MD"
24,4/27/2015 11:15,4/27/2015 12:00,"Monday Morning - Presiding:  Vanessa Bradford Kerry, M.D. ",Common neurologic issues in the ICU,"Jonathan Rosand, MD, MSc."
25,4/27/2015 12:00,4/27/2015 12:30,"Monday Morning - Presiding:  Vanessa Bradford Kerry, M.D. ",Protein Biomarkers: Improving diagnostics in cardiopulmonary and critical care medicine,"Michael A. Gillette, MD, PhD"
26,4/27/2015 12:30,4/27/2015 13:30,"Monday Afternoon - Presiding:  Vladimir Vinarsky, M.D.",Lunch (on your own),
27,4/27/2015 13:30,4/27/2015 14:15,"Monday Afternoon - Presiding:  Vladimir Vinarsky, M.D.","Pneumonia, community and hospital acquired","Benjamin T. Davis, MD"
