GUID,Start Day and Time,End Day and Time,Header,Title,Description
1,4/26/2015 7:30,4/26/2015 7:55,,Registration  ,
2,4/26/2015 7:55,4/26/2015 8:00,,Welcome,"David J. Kanarek, MD"
3,4/26/2015 8:00,4/26/2015 8:40,,There is no such thing as weaning,"Robert Brown, MD"
4,4/26/2015 8:40,4/26/2015 9:20,,Ventilator modes–What's new and what's worth keeping?,"Dean Hess, Ph.D., RRT"
5,4/26/2015 9:20,4/26/2015 9:50,,ECMO,"R. Scott Harris, MD"
6,4/26/2015 9:50,4/26/2015 10:05,,Coffee Break,
7,4/26/2015 10:05,4/26/2015 10:45,,Sedation and Analgesia in the ICU,"Ednan K. Bajwa, MD, MPH"
8,4/26/2015 10:45,4/26/2015 11:25,,Role of Lung Biopsy in the Management of Patients in the ICU,"Richard L. Kradin, MD"
9,4/26/2015 11:25,4/26/2015 12:15,,Pathogenesis of Sepsis and Current Treatment Guidelines: Evolution of a new paradigm,"B. Taylor Thompson, MD"
10,4/26/2015 12:15,4/26/2015 13:00,,Lunch,
11,4/26/2015 13:00,4/26/2015 13:45,,GERD in pulmonology,"David J. Kanarek, MD"
12,4/26/2015 13:45,4/26/2015 14:15,,Diagnosis and Management of IPF: How do we use the new drugs?,"Andrew M. Tager, MD"
13,4/26/2015 14:15,4/26/2015 14:45,,Interstitial Lung Disease and Autoimmune Disease: Which tests and what treatment?,"Katharine Black, MD"
14,4/26/2015 14:45,4/26/2015 15:00,,Coffee break,
15,4/26/2015 15:00,4/26/2015 15:45,,Sarcoidosis,"Fiona Gibbons, MD"
16,4/26/2015 15:45,4/26/2015 16:30,,Management of advanced lung disease,"Leo C. Ginns, MD"
17,4/26/2015 16:30,4/26/2015 17:00,,Cellular Mechanics of Lung Disease,"Charles Hardin, MD"
18,4/27/2015 7:15,4/27/2015 8:00,,Q & A Meet the Professors (question/answer session),"Drs. Bajwa, Brown, Ginns, Kanarek, Kradin & Tager"
19,4/27/2015 8:00,4/27/2015 8:45,,Ventilator-associated pneumonia,"Walter J. O’Donnell, MD"
20,4/27/2015 8:45,4/27/2015 9:30,,ARDS: Evidence Based Practice & Beyond,"Kathryn Hibbert, MD"
21,4/27/2015 9:30,4/27/2015 10:15,,Common neurologic issues in the ICU,"Jonathan Rosand, MD, MSc."
22,4/27/2015 10:15,4/27/2015 10:30,,Coffee Break,
23,4/27/2015 10:30,4/27/2015 11:15,,Point-of-care ultrasound in the ICU,"Andrew S. Liteplo, MD"
24,4/27/2015 11:15,4/27/2015 12:00,,Severe influenza infection: Pathogenesis and emerging therapies,"Josalyn Cho , MD"
25,4/27/2015 12:00,4/27/2015 12:30,,Protein Biomarkers: Improving diagnostics in cardiopulmonary and critical care medicine,"Michael A. Gillette, MD, PhD"
26,4/27/2015 12:30,4/27/2015 13:30,,Lunch,
27,4/27/2015 13:30,4/27/2015 14:15,,"Pneumonia, community and hospital acquired","Benjamin T. Davis, MD"
28,4/27/2015 14:15,4/27/2015 15:00,,The unexplained chronic cough...,"Kai Saukkonen, MD"
29,4/27/2015 15:00,4/27/2015 15:15,,Coffee break,
30,4/27/2015 15:15,4/27/2015 16:00,,Sleep apnea,"James E. Mojica, MD"
31,4/27/2015 16:00,4/27/2015 16:45,,Hemorrhage and ANCA-associated disease,"John L. Niles, MD"
32,4/27/2015 16:45,4/27/2015 17:30,,Pleural Disease,"Colleen M. Keyes, MD"
33,4/28/2015 7:30,4/28/2015 8:30,,Meet the Professors (question/answer session),"Drs. Liteplo, Medoff, Mojica, O'Donnell, Saukkonen & Thompson"
34,4/28/2015 8:30,4/28/2015 9:15,,Treatment of non-small cell lung cancer,"Rebecca Suk Heist, MD"
35,4/28/2015 9:15,4/28/2015 10:00,,Interventional pulmonology,"Colleen L. Channick, MD"
36,4/28/2015 10:00,4/28/2015 10:15,,Coffee break,
37,4/28/2015 10:15,4/28/2015 11:00,,Lung transplantation,"Todd L. Astor, MD"
38,4/28/2015 11:00,4/28/2015 11:45,,Exercise and cardiopulmonary disorders,"Gregory D. Lewis, MD"
39,4/28/2015 11:45,4/28/2015 12:30,,Occupational and environmental lung disease,"L. Christine Oliver, MD"
40,4/28/2015 12:30,4/28/2015 13:15,,Lunch,
41,4/28/2015 13:15,4/28/2015 14:00,,Emerging concepts in COPD,"Bartolome R. Celli, MD  "
42,4/28/2015 14:00,4/28/2015 14:45,,Thrombotic mechanisms and antithrombotic agents,"David J. Kuter, MD, Dr.Phil."
43,4/28/2015 14:45,4/28/2015 15:30,,Palliative Care,"Vicki A. Jackson, MD"
44,4/28/2015 15:30,4/28/2015 15:45,,Coffee break,
45,4/28/2015 15:45,4/28/2015 16:30,,Pulmonary embolism and DVT,"Richard N. Channick, MD"
46,4/28/2015 16:15,4/28/2015 17:00,,Pulmonary hypertension - Evaluation and controversy in management,"Josanna Rodriguez-Lopez, MD"
47,4/28/2015 17:15,4/28/2015 17:45,,Regenerative Pulmonology: stem cells and lung disease,"Jayaraj Rajagopal, MD"
48,4/29/2015 7:30,4/29/2015 8:30,,Meet the Professors (question/answer session),"Drs. Astor, C. Channick, R. Channick, Heist, Kuter, Lewis, & Oliver"
49,4/29/2015 8:30,4/29/2015 9:00,,The diagnostic approach to tuberculosis and implications for emerging resistance in other pathogens,"Maha Farhat, MD"
50,4/29/2015 9:00,4/29/2015 9:45,,Atypical mycobacterial disease,"Rocio Hurtado MD, DTM&H"
51,4/29/2015 9:45,4/29/2015 10:30,,Cystic fibrosis & bronchiectasis,"Leonard Sicilian, MD"
52,4/29/2015 10:30,4/29/2015 10:45,,Coffee break,
53,4/29/2015 10:45,4/29/2015 11:25,,A strategic approach to the management of pulmonary nodules: What makes sense?,"Theresa McLoud, MD"
54,4/29/2015 11:30,4/29/2015 12:15,,Current asthma concepts,"Aidan A. Long, MD, FRCP (C)"
